Element,Desktop,Mobile
Index.html,,
Nav,Maven Pro 20px,- -
PLANNED PLANTHOOD,Maven Pro 48px,Maven Pro 24px
,,
Säsong att så,Open Sans 32px,Open Sans 16px
Text,Open Sans 16px,Open Sans 14px
SÅ-TIPS,Open Sans 24px,Open Sans 16px
,,
Våra planerade planteringar,Lato 32px,Open Sans 16px
Card title,Lato 24px,Lato 14px
Card date,Open Sans 16px,Open Sans 10px
Card user,Lato 16px,Lato 10px
Card button,Open Sans 15px,- 16px
VISA FLER,Open Sans 24px,Open Sans 16px
,,
Våra tidigare odlingar,Open Sans 32px,Open Sans 16px
Text,Open Sans 16px,Open Sans 14px
Planterande plantor,Open Sans 24px,Open Sans 16px
,,
Vi hörs!,Maven Pro 64px,Maven Pro 32px
phone / mail,Maven Pro 20px,Maven Pro 12px
Till toppen,Open Sans 24px,Open Sans 12px
,,
personal.html,,
Nav,Maven Pro 20px,- -
Mina sidor,Maven Pro 40px,Maven Pro 32px
,,
Lägg till ny plantering,Open Sans 32px,Open Sans 24px
Planta / Datum,Open Sans 20px,Open Sans 12px
LÄGG TILL,Open Sans 24px,Open Sans 16px
,,
Dina planerade planteringar,Lato 32px,Open Sans 16px
Card title,Lato 24px,Lato 14px
Card date,Open Sans 16px,Open Sans 10px
Card user,Lato 16px,Lato 10px
Card button,Open Sans 15px,- 16px
,,
Dina planterade planteringar,Lato 32px,Open Sans 16px
,,
Till toppen,Open Sans 24px,Open Sans 14px (Different from index but gonna leave it as index size)